Title,Release_Date,Metascore,Genre
Elden Ring: Shadow of the Erdtree,"Jun 21, 2024",92,Action RPG
Tekken 8,"Jan 26, 2024",91,3D Fighting
Animal Well,"May 9, 2024",91,Metroidvania
Balatro,"Feb 20, 2024",90,Card Battle
Shin Megami Tensei V: Vengeance,"Jun 13, 2024",90,JRPG
Thank Goodness You're Here!,"Aug 1, 2024",90,Adventure
Like a Dragon: Infinite Wealth,"Jan 26, 2024",89,JRPG
Destiny 2: The Final Shape,"Jun 4, 2024",89,FPS
Horizon Forbidden West: Complete Edition,"Mar 21, 2024",89,Open-World Action
Persona 3 Reload,"Feb 2, 2024",89,JRPG
Ghost of Tsushima: Director's Cut,"May 16, 2024",89,Open-World Action
Lorelei and the Laser Eyes,"May 16, 2024",88,Adventure
Dragon's Dogma 2,"Mar 22, 2024",88,Action RPG
MULLET MADJACK,"May 15, 2024",88,FPS
Minishoot' Adventures,"Apr 2, 2024",87,Top-Down Shoot-'Em-Up
Closer the Distance,"Aug 2, 2024",86,Adventure
World of Goo 2,"Aug 2, 2024",86,Action Puzzle
Minds Beneath Us,"Jul 31, 2024",86,Adventure
Riven,"Jun 25, 2024",86,First-Person Adventure
Sons of the Forest,"Feb 22, 2024",86,Survival
Solium Infernum,"Feb 22, 2024",85,Turn-Based Strategy
1000xRESIST,"May 9, 2024",85,Adventure
Kunitsu-Gami: Path of the Goddess,"Jul 19, 2024",85,Action Adventure
Magical Delicacy,"Jul 16, 2024",85,Metroidvania
Prince of Persia: The Lost Crown,"Jan 18, 2024",85,Metroidvania
Anomaly Agent,"Jan 24, 2024",84,2D Platformer
Momodora: Moonlit Farewell,"Jan 11, 2024",84,Metroidvania
Crow Country,"May 9, 2024",84,Survival
Arranger: A Role-Puzzling Adventure,"Jul 25, 2024",84,Action Puzzle
Berserk Boy,"Mar 6, 2024",83,2D Platformer
Cat Quest III,"Aug 8, 2024",83,Action RPG
Between Horizons,"Mar 25, 2024",83,Adventure
Nine Sols,"May 28, 2024",83,2D Platformer
Helldivers 2,"Feb 8, 2024",83,Third Person Shooter
V Rising,"May 8, 2024",83,Action Adventure
Snufkin: Melody of Moominvalley,"Mar 7, 2024",83,Adventure
ROBOBEAT,"May 14, 2024",82,FPS
Tiny Terry's Turbo Trip,"May 30, 2024",82,Open-World Action
Botany Manor,"Apr 9, 2024",82,First-Person Adventure
Samurai Warriors 4 DX,"May 14, 2024",82,3D Beat-'Em-Up
Turnip Boy Robs a Bank,"Jan 18, 2024",82,Action Adventure
Zet Zillions,"May 23, 2024",82,Card Battle
Black Myth: Wukong,"Aug 19, 2024",82,Action RPG
Lil' Guardsman,"Jan 23, 2024",82,Adventure
Rusty's Retirement,"Apr 26, 2024",81,Tycoon
Vampire Therapist,"Jul 18, 2024",81,Visual Novel
Granblue Fantasy: Relink,"Jan 31, 2024",81,RPG
F1 Manager 2024,"Jul 23, 2024",81,Auto Racing Sim
Children of the Sun,"Apr 9, 2024",81,Action Adventure
Ultros,"Feb 13, 2024",81,Metroidvania
Senua's Saga: Hellblade II,"May 21, 2024",81,Action Adventure
Earth Defense Force 6,"Jul 25, 2024",81,Third Person Shooter
SteamWorld Heist II,"Aug 8, 2024",80,Strategy
Spirit City: Lofi Sessions,"Apr 8, 2024",80,Virtual Life
Dungeons of Hinterberg,"Jul 18, 2024",80,Open-World Action
CONSCRIPT,"Jul 23, 2024",80,Survival
Inkbound,"Apr 10, 2024",80,Turn-Based Tactics
Tavern Talk,"Jun 20, 2024",80,Visual Novel
